[00:00:00,000-00:00:01,800] 🎼你的名字是姜老刀，
[00:00:01,800-00:00:03,420] 这个名字不够熟悉，
[00:00:03,420-00:00:04,620] 对吧？
[00:00:04,620-00:00:06,780] 那你的频道的名字是实际，
[00:00:06,780-00:00:08,940] 你们的粉丝量3四千0万。
[00:00:08,940-00:00:12,540] 我想大家应该多多少少有听说过日食记这个名
[00:00:12,540-00:00:15,420] 字是一个非常厉害的美食型的频道，
[00:00:15,420-00:00:18,120] 能够把这个做成一个庞大的企业，
[00:00:18,120-00:00:19,740] 其实真的很不容易。
[00:00:19,740-00:00:22,800] 我这边的行业里面很少有近似的公司。
[00:00:22,800-00:00:24,780] 这怎么样走入他的后台，
[00:00:24,780-00:00:27,840] 来带你看看如何把美食变成一个产业，
[00:00:27,840-00:00:29,100] 并且保持初心。
[00:00:29,100-00:00:30,720] 现在我们在尼泊尔，
[00:00:30,720-00:00:31,920] 我们开始吧。
[00:00:31,920-00:00:35,340] 😡日食记是比我们起步还要早的内容频道，
[00:00:35,340-00:00:36,600] 早在十多年前，
[00:00:36,600-00:00:39,300] 他们就已经在用电影机拍摄美食。
[00:00:39,300-00:00:42,720] 为了打灯一个月可以烧掉上万块钱的电费。
[00:00:42,720-00:00:45,600] 那当我们团队还是几十个人的时候，
[00:00:45,600-00:00:48,840] 他们已经壮大到了将近300人的规模。
[00:00:48,840-00:00:50,040] 而到了今天，
[00:00:50,040-00:00:53,280] 日食记依然保持着每周两条左右的更新，
[00:00:53,280-00:00:55,080] 制作水准也始终在线。
[00:00:55,080-00:00:56,880] 一支日常的美食教学，
[00:00:56,880-00:00:59,220] 他们能拍出来的画面是这样。
[00:00:59,220-00:01:01,380] 😊而他们做的声音是这样。
[00:01:01,380-00:01:02,580] 一定要提。
[00:01:02,580-00:01:04,560] 🎼不过更让我佩服的是，
[00:01:04,560-00:01:06,720] 他们这几年做的喜宴系列，
[00:01:06,720-00:01:10,320] 这是一档专门拍摄各地宴席的美食人文纪录片
[00:01:10,320-00:01:11,520] ，
[00:01:11,520-00:01:13,320] 婚宴流水席百人村宴，
[00:01:13,320-00:01:14,940] 不仅馋哭了很多人，
[00:01:14,940-00:01:16,380] 也看哭了很多人，
[00:01:16,380-00:01:19,620] 光是在B站就有超过3700万的播放，
[00:01:19,620-00:01:23,220] 能在美食这个赛道做到这种地步真的很不简单
[00:01:23,220-00:01:24,420] 。
[00:01:24,420-00:01:26,220] 但是作为团队的核心，
[00:01:26,220-00:01:28,380] 老刀本人其实一直很低调。
[00:01:28,380-00:01:31,980] 你看大部分时候他在视频里面只是简单露个脸
[00:01:31,980-00:01:33,180] ，
[00:01:33,180-00:01:35,880] 或者是留下做饭时候的动作特写，
[00:01:35,880-00:01:37,080] 脸都不露。
[00:01:37,080-00:01:38,880] 那大家对他了解很少。
[00:01:38,880-00:01:40,080] 。
[00:01:40,080-00:01:42,420] 😊这次能够走进他们的后台，
[00:01:42,420-00:01:44,400] 探访尼泊尔喜宴的拍摄，
[00:01:44,400-00:01:47,460] 对我们来说算是一次挺难得的机会啊。
[00:01:47,460-00:01:48,660] 🎼好甜啊，
[00:01:48,660-00:01:49,860] 你你少吃点，
[00:01:49,860-00:01:51,120] 把我我要把蒜，
[00:01:51,120-00:01:52,920] 这对我来说有点折寿，
[00:01:52,920-00:01:54,120] 是吗？
[00:01:54,120-00:01:55,380] 因为你还年轻。
[00:01:55,380-00:01:57,180] 😊但是你比我大几岁。
[00:01:57,180-00:01:58,380] 方的。
[00:01:58,380-00:01:59,580] 你叫我叔，
[00:01:59,580-00:02:00,840] 你肯定不吃亏。
[00:02:00,840-00:02:02,100] 🎼我80年的，
[00:02:02,100-00:02:04,620] 你80年80年整不是80后，
[00:02:04,620-00:02:05,820] 80整，
[00:02:05,820-00:02:07,260] 你46岁叔叔啊，
[00:02:07,260-00:02:09,780] 你觉得你和10年前有区别吗？
[00:02:09,780-00:02:10,980] 有。
[00:02:10,980-00:02:12,180] 😡什么体能？
[00:02:12,180-00:02:13,800] 我10年前更年级，
[00:02:13,800-00:02:16,320] 没有我十年前的话就跟你一样，
[00:02:16,320-00:02:17,520] 精力无限。
[00:02:17,520-00:02:18,720] 嗯，
[00:02:18,720-00:02:20,520] 就我可以晚上不睡觉，
[00:02:20,520-00:02:23,580] 白天照样非常有活力的去做任何事情，
[00:02:23,580-00:02:25,020] 但我现在做不了，
[00:02:25,020-00:02:26,820] 真的体能会跟不上吗？
[00:02:26,820-00:02:29,340] 所以我会分配自己的工作时间，
[00:02:29,340-00:02:32,040] 把精力就只放在实宴这件事情上，
[00:02:32,040-00:02:33,480] 像你们拍的时候，
[00:02:33,480-00:02:37,080] 一般是保合适拍摄还是就是停的时候立刻就停
[00:02:37,080-00:02:38,280] ，
[00:02:38,280-00:02:39,720] 就不再继续拍了，
[00:02:39,720-00:02:40,920] 不好合适。
[00:02:40,920-00:02:43,800] 这跟我以前拍摄完全就是两种风格，
[00:02:43,800-00:02:45,000] 对吧？
[00:02:45,000-00:02:48,240] 以前就是完全限制是这个就是这个这个。
[00:02:48,240-00:02:49,440] 😊🎼就卡住，
[00:02:49,440-00:02:52,500] 就是我需要祈伏和落伏是非常精准的。
[00:02:52,500-00:02:54,840] 然后这里就是我会跟他们讲，
[00:02:54,840-00:02:56,640] 你只要这个场景没钱，
[00:02:56,640-00:02:58,080] 你就永远拍下去。
[00:02:58,080-00:02:59,340] 老刀开玩笑说，
[00:02:59,340-00:03:02,040] 喜宴系列很像是拍一个婚庆摄影，
[00:03:02,040-00:03:03,480] 拍结婚、拍吃饭。
[00:03:03,480-00:03:06,000] 但你真正看过他们的片子以后，
[00:03:06,000-00:03:08,700] 就会发现他们跟拍一场婚礼宴席，
[00:03:08,700-00:03:10,320] 就会顺着结婚本身，
[00:03:10,320-00:03:11,520] 把两个家庭，
[00:03:11,520-00:03:12,720] 整个村子，
[00:03:12,720-00:03:15,420] 还有这个地区的文化都给拍进来。
[00:03:15,420-00:03:16,860] 比如闽南那一期，
[00:03:16,860-00:03:20,280] 他们为了结合福建闽北的游神和闽南婚宴。
[00:03:20,280-00:03:23,880] 足足横跨了两年的时间来把这支视频做出来给
[00:03:23,880-00:03:25,080] 你。
[00:03:25,080-00:03:28,140] 而在这种动辄一两年的拍摄周期里面，
[00:03:28,140-00:03:31,020] 他们的流程也变得和我们很不一样。
[00:03:31,020-00:03:34,620] 比如老刀总会带着团队去体验一些旁人看起来
[00:03:34,620-00:03:35,820] 很奇怪，
[00:03:35,820-00:03:38,520] 甚至根本不可能剪进片子里的事，
[00:03:38,520-00:03:40,500] 但是他觉得这特别重要。
[00:03:40,500-00:03:42,840] 🎼这个地方是做瑜伽的地方，
[00:03:42,840-00:03:45,540] 应该是我们正常拍片子不会来的。
[00:03:45,540-00:03:47,700] 但是老陶他们拍片子的话，
[00:03:47,700-00:03:51,120] 喜欢先过来体验一些当地真正当地的东西。
[00:03:51,120-00:03:53,280] 所以你们看到就莫名其妙，
[00:03:53,280-00:03:55,080] 老刀就在里面做瑜伽。
[00:03:55,080-00:03:56,280] 😊Yes.
[00:03:56,280-00:03:57,480] 🎼别算多行。
[00:03:57,480-00:04:00,180] 为什么是露出了我的巨爽内裤啊？
[00:04:00,180-00:04:03,780] 🎼clo sir哎O now suppo
[00:04:03,780-00:04:07,020] rt you coming up哎，
[00:04:07,020-00:04:08,640] 是是黄妙兰黄妙兰。
[00:04:08,640-00:04:09,840] 😊.
[00:04:09,840-00:04:11,040] 哎，
[00:04:11,040-00:04:13,200] 你看拍片还有这种环节吗？
[00:04:13,200-00:04:14,460] 🎼那练完瑜伽，
[00:04:14,460-00:04:15,720] 老道告诉我们，
[00:04:15,720-00:04:18,960] 他觉得只有体验过当地最为特色的活动，
[00:04:18,960-00:04:22,380] 才会有真切的感受和内容从心里流淌出来。
[00:04:22,380-00:04:25,440] 但其实老道是一个比我还要内向的人，
[00:04:25,440-00:04:27,420] 所以在喜宴的成片里面，
[00:04:27,420-00:04:30,840] 你会发现他几乎都是用旁白来进行讲述的。
[00:04:30,840-00:04:32,820] 😊我去问掌勺的大师傅，
[00:04:32,820-00:04:34,800] 今天有什么特别的菜不？
[00:04:34,800-00:04:36,240] 大师傅淡淡的说，
[00:04:36,240-00:04:37,680] 也没什么特别的，
[00:04:37,680-00:04:41,280] 无非就是些发财跟豉油鸡烧乳鸽、蒸龙炖、大
[00:04:41,280-00:04:44,880] 明虾真扇片话眉猪手、五花南梦话菇精媒体。
[00:04:44,880-00:04:47,580] 究竟我应该做一个什么样的配音。
[00:04:47,580-00:04:50,640] 这件事情其实我也花了大概三四个月，
[00:04:50,640-00:04:52,260] 就是讲述的语调嘛？
[00:04:52,260-00:04:53,520] 对讲述的语调，
[00:04:53,520-00:04:55,680] 就是你是不是要抑扬顿挫，
[00:04:55,680-00:04:56,940] 要不要播音腔，
[00:04:56,940-00:04:59,640] 那我们就取了一个相对平衡的值，
[00:04:59,640-00:05:02,880] 然后我会区分一下我对麦的距离的感受。
[00:05:02,880-00:05:04,500] 就比如说在报蔡明，
[00:05:04,500-00:05:05,700] 我在。
[00:05:05,700-00:05:07,680] 🎼讲快速的语调的时候，
[00:05:07,680-00:05:09,300] 我会离得更远一点。
[00:05:09,300-00:05:12,180] 但是如果我在结尾要做升华的时候，
[00:05:12,180-00:05:13,620] 我会离得近一点，
[00:05:13,620-00:05:16,140] 让我的低音的声压更多一点啊，
[00:05:16,140-00:05:19,740] 你还有这种微操来控我有微操旁白的形式其实
[00:05:19,740-00:05:22,620] 就是我还是更 school一些，
[00:05:22,620-00:05:26,220] 我希望是由我的视角来看待我看到的东西的，
[00:05:26,220-00:05:27,840] 而不是我融入进去。
[00:05:27,840-00:05:31,440] 因为有些东西我觉得我们并不适合融入进去。
[00:05:31,440-00:05:34,680] 因为觉得做不到像team这样的状态。
[00:05:34,680-00:05:38,280] 但是现在突然发现旁白其实还是有很多好处。
[00:05:38,280-00:05:39,480] 信息密度高。
[00:05:39,480-00:05:40,680] 对他的信。
[00:05:40,680-00:05:41,940] 密度会非常高，
[00:05:41,940-00:05:45,000] 而且你拉情绪的时候可以拉的特别好。
[00:05:45,000-00:05:46,200] 那除了旁白，
[00:05:46,200-00:05:49,800] 你会发现日食器在声音方面比我们要强很多很
[00:05:49,800-00:05:51,000] 多。
[00:05:51,000-00:05:53,700] 早在2014年公司成立的时候，
[00:05:53,700-00:05:56,220] 他们就已经有了自己的声音组，
[00:05:56,220-00:05:57,480] 给画面配拟音，
[00:05:57,480-00:06:00,720] 并且一点点建立起了属于自己的音效库。
[00:06:00,720-00:06:02,340] 那这几年喜宴之上，
[00:06:02,340-00:06:05,040] 他们采用了更多现场真实的声音，
[00:06:05,040-00:06:07,740] 所以对麦克风的要求也越来越高。
[00:06:07,740-00:06:08,940] 那聊到这里，
[00:06:08,940-00:06:10,140] 你会感受到，
[00:06:10,140-00:06:12,840] 其实老道对视频的呈现非常讲究。
[00:06:12,840-00:06:14,820] 本来以为到了拍摄现场，
[00:06:14,820-00:06:16,260] 他会一样的严格。
[00:06:16,260-00:06:18,240] 🎼但你会发现跟着他拍，
[00:06:18,240-00:06:20,760] 他身上有一种老艺术家的从容，
[00:06:20,760-00:06:22,380] 他们团队没有风景，
[00:06:22,380-00:06:23,820] 没有固定的新辰，
[00:06:23,820-00:06:25,800] 拍着拍着可能说要逛街，
[00:06:25,800-00:06:27,600] 然后突然就去逛街了，
[00:06:27,600-00:06:29,580] 又或者快要收工的时候，
[00:06:29,580-00:06:31,740] 冒出了一个值得采访的人，
[00:06:31,740-00:06:35,340] 他们就在赶去的路上立刻开始加班写采访提纲
[00:06:35,340-00:06:36,540] 。
[00:06:36,540-00:06:38,160] 你们既然是拍喜宴。
[00:06:38,160-00:06:41,760] 我听说现在你们其实已经是第第二次第二次来
[00:06:41,760-00:06:42,960] 这儿，
[00:06:42,960-00:06:46,200] 但是还没有找到真正的喜宴的那户人家。
[00:06:46,200-00:06:47,400] 对，
[00:06:47,400-00:06:48,600] 那怎么办？
[00:06:48,600-00:06:49,800] 没关系，
[00:06:49,800-00:06:51,000] 慢慢找，
[00:06:51,000-00:06:53,700] 就是我们就是相当于呃修一个墙，
[00:06:53,700-00:06:54,960] 先把边先修完，
[00:06:54,960-00:06:56,400] 中间露个大窟窿。
[00:06:56,400-00:06:57,600] 这个大窟窿，
[00:06:57,600-00:06:58,860] 反正等待时间，
[00:06:58,860-00:07:00,060] 已经没事了，
[00:07:00,060-00:07:02,040] 走到街上就可能不放假。
[00:07:02,040-00:07:03,240] 哎，
[00:07:03,240-00:07:06,300] 最近那哪里哪里什么地方会有结婚啊，
[00:07:06,300-00:07:08,460] 所以我觉得通过时间的话，
[00:07:08,460-00:07:11,160] 就一定会找到他的随机性太大了。
[00:07:11,160-00:07:13,140] 就比如说像尼泊尔的话，
[00:07:13,140-00:07:14,760] 这一家今天要请客，
[00:07:14,760-00:07:16,380] 他可能今天不请了，
[00:07:16,380-00:07:19,980] 那我们可能随时随地就要把其他的计划给排过
[00:07:19,980-00:07:21,180] 来。
[00:07:21,180-00:07:22,440] 等到真正忙的。
[00:07:22,440-00:07:24,960] 那一天你们会直接忙到天上去。
[00:07:24,960-00:07:27,480] 对我们其实有一次最忙的时候，
[00:07:27,480-00:07:29,100] 体感45度的温度，
[00:07:29,100-00:07:31,980] 我们大概连续工作大概16个小时。
[00:07:31,980-00:07:35,580] 就因为他这一段时间就必须得把这些东西全拍
[00:07:35,580-00:07:36,780] 了。
[00:07:36,780-00:07:40,380] 那你们比如说你们今天比如拍了很多多东西，
[00:07:40,380-00:07:43,800] 你们会当天晚上大家坐下来一起来看素材，
